license,url
AGPL3,https://opensource.org/licenses/AGPL-3.0
Apache 2.0,https://opensource.org/licenses/Apache-2.0
BSD 2-clause,https://opensource.org/licenses/BSD-2-Clause
BSD 3-clause,https://opensource.org/licenses/BSD-3-Clause
CC0,https://creativecommons.org/share-your-work/public-domain/cc0/
CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
CC-BY-SA-4.0,http://creativecommons.org/licenses/by-sa/4.0/
GPL2,https://opensource.org/licenses/GPL-2.0
GPL3,https://opensource.org/licenses/GPL-3.0
LGPL3,https://opensource.org/licenses/LGPL-3.0
MIT,https://opensource.org/licenses/MIT
Mozilla Public License 2.0,https://opensource.org/licenses/MPL-2.0
The Unlicense,https://unlicense.org/
